2022-10-16T02:45:39.900565,2022-10-16T02:45:39.900565
stake1uyktmxxnf0quguxqm0rf3mgvwqprgsnjsxa8lmn8dwuy2ys6nhw5t,252.0
stake1u8eshsrh4egfkz5xdwg7ejqktr96a97vnycek3hwgx2qqfgyae3kv,990.0
stake1uyp4gtykmn95je3cz9650swae5ettdav4yj09ne5v0lau5qlz53ux,740.0
stake1u9pmhz5pt5g7g2x2efdhx0vf6d6v3972w5jqlnmfuwjmdygeq8r25,708.0
stake1ux98c8ksg3f8z4vnpyk95vjvk4cvtdgx8mjcvrwmehdmyagvd86y4,378.0
stake1ux92a66pl656nzt3egzkdnjkmflk65wfg5705gu86mnjfwqwa94ng,468.0
stake1uypvgw7tvq0ww9xc64cqd0r852ymeud8w86u2ejas68m3vsum2heg,23571.0
stake1u9k249j4xxw0tgzsnu7z7j3vdxj6wfdvdtdd25y9jlgmmcs929n9h,5877.0
stake1u8lrttjq0k3wll3eajm0mnl0zufw4qgzsq5smtxpv3emyec2l9jdd,7686.0
stake1u97yrvevjdfq40hn79344e6a4hkp5mjqdmwv59qt56f0kpspur8vw,3564.0
stake1uxmhdf9jc9atdem62h9vufz3fju9dgmnkmc0g7me7yvh7ecfak3v6,1743.0
stake1uxwjyxmf9s3dcv5wlzask07qmmwrs50uwgp2mx7lvg289xs0dsswu,297.0
stake1uyvfxt7gz3zc00smhpqal2e3s5cl8v0uwxnt6c889pyg98c027ep3,340.0
stake1uy0msylgtdtn09lt9vhvzzukx6mu24g85rh69wgll4w9fmgzgwhmx,279.0
stake1ux3wesqk5hv63dexxtgcewggpynv9su3s50fdqnnuusythg0j38h4,19953.0
stake1uy6tm59yf7eunp7ghf59s6yfan0f4820cm6wtean6ck5q7qyujjyq,306.0
stake1u8m8sfwndu8hrjgzvefjc3der635uaqzrcaxf3z5yqp0rushx0e5g,18581.0
stake1uytsx6hejyjwyqwezntlr47rcz28tzwvuzlpr0cusnv3wkqfsa922,99.0
stake1uxkvc7zelh9jtyjwtzlerryfsymn0wudrtx4k5lt0chwh0gp8670e,342.0
stake1uyckc64alwl0xucq4xc5kyq46rdgwemzhqsa4e6w20f6wgc38s3qv,5985.0
stake1uyvrdlx9y5vyalppz0s6hrqgdsw49kh33hmkc9rx7mt7a7qphyfjh,567.0
stake1u8l8khcfqyjwqaly9tu07upumk4hta5f9r5wdgplzf2vsagledhhk,270.0
stake1uy0tvq90z4vrgzcmct60gkgx79m069en75aeme9hvtsztwchw4enx,612.0
stake1u9fhucxtvycz98a758eveth3ttfyg9d95w7ax3jx996jexsaac465,4572.0
stake1ux3ag6uknf7ragelttuwv6cc04fpy5yyuutxj992h9z544qn48vwa,7560.0
stake1ux9au4nkjdtcdn6q62y89d6s768rtadl89g4w42fwdzjefqs0tcq4,23488.0
stake1uxzt0pmgwvga7huzklnxladgpwyhyc8n3fawt9zun2s2aqqm0f6fg,432.0
stake1u9rf82nhdjtwglce390yy3gwc5w9hef8zvlxlwr8n2xpv8q47gytp,12096.0
stake1u9tnd9wnl2hs3ms2c9kj5mmg9cc5k83qy3ggw6g9qtyegwg066fsq,666.0
stake1u9qpadgwx3llzv77hzmyjf0klhzna8a8gzqelcgpkqljx9cfwk8m6,648.0
stake1ux9pcg6f3s2up8p56mrvkz2f62tzxlytul625taw0ezwxucp3wzm2,546.0
stake1ux398mg73ksqgtzzr96sl97c2q6hezdnk8cq7tmpqyqkvfsldkzjt,6300.0
stake1uxp978nkqqmzjne4txx0300jaf48vr22xrcw79vzs5qejmcd33rsv,21942.0
stake1u907nc2vew0ugra98rmgfv55ttky4uzy56w7awgmfaz9m7qjhdhmg,612.0
stake1u8peawsavvw67yujvwch5jhl8fvp8u7ye9d2g22ftvyd6uslsuh80,225.0
stake1u8y24vkpscq4vyj0ldnzyv9ndfqgxrrhm4rr45n7h8r06wgk42j9k,216.0
stake1ux8yefdt8t22jdee4zx2vls95mxtkkvt9mcj0dv08svv0ssyxrped,13590.0
stake1u8g5u0wcx0ps7ejvfs8g5hpud3u362m7m6l66fmj7yz8segawun94,288.0
stake1u9a9d9wvjrc85x2cnjafezce0yxelu6lpa68tlrgcswpaps068lkd,1503.0
stake1u9mt8acwm0sv0rnp4u4fvd7g97mf4z0mjl8q8wlxndcz8rqt7delt,747.0
stake1u9yz56nafkm72res4uwdmlxrnu5n0j87m0e43clcp9z02kqm6qfnc,837.0
stake1u84wrjtl8xlaurys2mmt7ll5q6hlk8uucmgps4jth5p8d0ccw3w97,3168.0
stake1uxnnyxz4zue84leueshahnggne4jfecs3wxlftzqlrztsgq94zp7s,366.0
stake1uyu7a73pwtutgwalhc9g8pw3azv8vvuy788ypjcnvnfcl9guchejc,3054.0
stake1uyn8daeqarvsfwgxrvj39e5kjlqeay3k0zrsw2yep2557wceaaz7u,945.0
stake1uywuu7t5ayxsr4rajv62rwz5089z4myhe3wrmsgzl2gyplskh0c5q,342.0
stake1u8v2w9e39lxrvggpcvlk2jls6mxrk44nf6f97ksde6c3cdsqnlp9m,351.0
stake1uyswme33vqrqahnwy5p0l8l7na68nl3fpvfnyz0gcfxzxmcjc9r5l,396.0
stake1uy6gktfkq8harl479qrxs83mwcldhvz6mhh8z62eak56gds8ym47g,2835.0
stake1u8tupfxwrgj8vmsvfcpkvekjjne8jz396u4cm6695earffqlfaqpx,3402.0
stake1uxp9urhr3h3zr0az9y6wqkkl9p0t287sgslztddrjvf42esfd2du7,2490.0
stake1ux3ez4g0092atyw33nkl68pmkfsy9puwqc76g3vswvs2reqlrx8lg,684.0
stake1uylq58p6t5m9khvfjsjkd7e5puh3czltpcfm3n8mwh0n02gfh4fvp,2241.0
stake1uxmvr2emm67qdfagadx5drk2t3g6exw239frz39ar00655gqjmlkh,567.0
stake1uxln27v8n3uxes3efalkcr4m5nhrp43ru48wtx4xxurj2nsrr75xc,76.0
stake1u904wmt75cvuw4scpjgumnzj8pasqvkuysjm8rrs7yzc5wgqkz7mr,8955.0
stake1uxg8e0rxqyfpcwjne6d95d60gfzen64rrktzns7kckwtg3s5n4s6v,1656.0
stake1uxwk8k8mj3efn5gyfj4n989782t0nkcymnl5793dtk3dmjct93720,6336.0
stake1ux3zx09xsdz0rwzfh9y8qv56fsrp5c05fk33m03q6efjwyc4s596r,450.0
stake1uyhxtu2kgf5gswpl4e4wkdyvg85fkuv7q6cmqfjrpacy4yqujlnh7,4734.0
stake1uyyecyzzjayc87hfaey00g0zvwxx4n2aue3259fada4pkugfm48p0,1314.0
stake1u90ne49w8wu0ee5eq2kdrq3943q3uuq6tpyzf4h6w5t7h5cmxhylg,1530.0
stake1uyxfvpaeafq45nw5ct4dk3atkw2nugh4zwdp8k5z9andk4czkc47m,1521.0
stake1uxf29vwpsx4mwkmrl6z4yxy5vrgz9xeqwgvqcu74rs8fukgtkgs0d,28099.0
stake1uxhh793m52c5fgzazfq4asp3wff33h5ac88fgeca2v6vr6ghrh2d0,12270.0
stake1uyf0lfqdqf6z73a73dtqkmcy72qrwpjww5el38jeej0aflggp6846,243.0
stake1uxhqdzp58ngk53nek8ex94svcrmwsatr82s86mcchxgmtsggjcyxw,1011.0
stake1uy6qxkfsvjcv2zn50d49z7fq8kmkkt20fwu80gjr4jucpjg2uzf28,21.0
stake1u9w2uz3mxvwq5uz6yke5l96uexys852lx5l32srfez2aq8gnw09jh,3366.0
stake1u9kfhkl6skp73slhlfs4t0rrqkc34ygneyfq5lk2u5tjm0cmr2lxk,288.0
stake1uy8k2kg4zdfdc55u30tx3xql52dt9dzphtv6qgecn8hcydq6xsk39,945.0
stake1u94tkqfyaqpty4vyph4age5y6zjs5augj54j5pz9pdse6vshwq9ce,380.0
stake1u8p4fn6mh3ah8mzmc95xct7fl00e4nhc6mmnavc7gfzryvc560ssw,1836.0
stake1uxvhmw8nn06584rvkstqu40838d0l8ml9f2yz4jwmgq0afq9g6hcx,2214.0
stake1u89zv8drd4pdku2zmpfy97nvs4u8lze3dw8cwusreus5hccc3scf6,3716.0
stake1u8zdltz3hxdj4jqsvq0ya3yvmxsscln4kpfq4drk5nz70nc7r6td3,594.0
stake1uy75c2n0hayy7j7twvl4gj7mvpj50p47mmwygvkzd79q7sqn0pw8h,7065.0
stake1u9d2jvw82yal93g8saasys3qdq8u5qcs8wfdlykysw6eedqzuwxcw,351.0
stake1uxql7whw6pwynn70ln7h4shugx5k303em7vj8m06j4xcd2cys6fzs,4563.0
stake1u8n4qz3m79easl9rqvgrcw2qm2499c4clz85ktr92jxaxlsavuj4n,378.0
stake1uy335wkzl6evta7ar7ttsevned00jk9n240j9qz4g9a5d5g7dafsy,507.0
stake1uxctsjlxejq604cw09jjj0j5uak2eq5lhx3zckmjxnr50dqyvqzw0,243.0
stake1uxjh74ue8uf2lrfur48xhj62xe2cvyk2vhthpq8yv8s5raqr9yz2g,4698.0
stake1u9p0fvcstr7gw766s7ld3nhfc70quqrekmhxkuwj5x8rqdg7rkzx7,40.0
stake1ux6qdzy9fdutxr2ww6lf7n7umjzaguw2wr7tcvwlr9mtchgp4asks,153.0
stake1uy6epr5u39snu65h776859zk4pcjdqkly4etet86pcvnjngmu9rcv,990.0
stake1uynplur9gjheyegxu9kj5edqfe5r2wjlflz9m8te0fxh4eqe54yd6,575.0
stake1uy7gzmx094yvglvyvftslaequjny4nm6lf8zz826pagw3fssclt4c,522.0
stake1uytt9eeprpfru2qag48lw0tc5wpfucs9d5ggjzmtendnr5cwpe76n,936.0
stake1u9zmhjf8mrtprw9j94uprl09qynvsw5ellw9y2chq78gv4c9twm5u,225.0
stake1u8g0slxdy6cucjhag05hvqc8zqncaleahfyr7v9m9x7rynsa34n8m,1086.0
stake1uxlyx7u374r7aegq0zjq5q0c7n6pr089rkt53luud9kh99sw9p0dk,378.0
stake1uymr47rxcre2fayqpax2k386nezt35gengwype4u6ac36ggk5uf0k,999.0
stake1u8q9q3grwl95m7k30y25d7epderm3auvre5xctyh8ndge9gmq9syy,684.0
stake1u9jx3x9n3adzljx4nm234k8tudpx2htnuj0wy8rjr0grhlsz3ggcq,270.0
stake1uxyclet3tyh3ss8t4gq727yz3nma63z73pezmezydy7e3zglfr9ch,91206.0
stake1uyduq9xgggflkqlhn2w42g6n67lq4jqxq85m9egvfghcrsg7zaww8,432.0
stake1u8gpw76vns79dkgjjtp54xr23mr9dy2hsv69jfzm5ysy7scvac67x,360.0
stake1uydnm80xex96waxwwxqmpprxy60zmqal2k06nl7gqq4n8nqpptywn,1791.0
stake1uynq58qlvzgdyp3u37eky4asvu62rk5m2nua7arf2shfu5s08n58z,2970.0
stake1uywlht33mf2ed9c8vwg4e4007kafcyyf8q4v4ygze9rmk0s2asnx3,1008.0
stake1u80ea3wjnwtflchsr4skjxksz6rkujhe8s7wrwu6t3c5ytchcnpw8,4383.0
stake1uxly7q8zsegp4kp29yga4j6hutqcpnp7d7ge5spva77hc0s7eqhze,2205.0
stake1uxvtwemwsfmzsda6cg0jnaywplpr55nuurl6hf40whf3vlcfz2z08,3348.0
stake1u8adcqmn0fm8zlvxfxkuvk2gl2ex459cstsfla2pp4gwj0s7vffh2,720.0
stake1u9c9trt9kjahswsxvhr3zk543l5q68dx7kunmakehjew3mgqelkse,2268.0
stake1uy7q4m63fyq652zpe8jyseynf0m6sl0tyfysl002wlxj2dg0dulm2,279.0
stake1u8y5c22tues2j6rregf2fca9j26lncpv4v559q0wp6zj0cq26pllm,1611.0
stake1uxwwgjn0mrt9mq922y4524s2t7vh7s0f9ryhuq7sdhuxu7galprpk,8334.0
stake1u9t7rpxh5zt0d0xu497t3thrcsth0xredwjkjj3csjh98hsm0k0q6,3285.0
stake1u8z0yxrat8qsmklgt5zalknqeympy6x5rlh7uehlrwqr0agjklnrz,3546.0
stake1uy77szv5kpufk2r8p3t7xgutv2c87pw483lpmx5vsa5chegf6qfgq,484.0
stake1u9h47jzelq38mk7yvaxklducf9uw7lhmfhwk4fm44wfdszsgqdmmz,702.0
stake1uy5kgpw0je5srn8hrn8mt6rycp5ludnv0rhdxnc0v0dx2ms9asrzz,468.0
stake1u8lnugysehec3skf00252ya66uwnyrpykrggdm29jj4vp7grcl0u9,4554.0
stake1u8adq2jgxwxvuzdn3ja05f7rp4mvy3u6k889g2jgv4gvn7cggzse0,544.0
stake1u8y2a5eqwl4pu22smxgxa6n020tpvjrfxq5gc89q2m44lwgv33ess,630.0
stake1u9jqezcgur3az6n849x2r36mjv5xxled5qgxzrpq8jxx9cqhn3tcv,1384.0
stake1uxthxarmlqtzdwml42vsftwlhekqf94jmm2q8dtljs6rpyc2h5lj5,9414.0
stake1u9ncrywddh0578qy6rk5qkslzcnxcmxragkd46k742gk7tcgrne55,360.0
